generation,max,mean,min
0,11.79104459883376,10.082539417039735,9.986931992823257
1,11.79104459883376,10.223510120519721,9.97508236512359
2,11.79104459883376,10.104985674368484,9.97508236512359
3,11.79104459883376,10.102664621535014,9.996785055045546
4,13.845718872789664,10.262360170702271,9.994165291751418
5,11.79104459883376,10.073962890967513,9.986169804094935
6,11.79104459883376,10.122814348865422,9.986169804094935
7,11.79104459883376,10.089665415159896,9.986169804094935
8,11.79104459883376,10.07241175078031,9.986169804094935
9,13.845718872789664,10.196086846721549,9.986169804094935
10,11.79104459883376,10.065949559205754,9.986169804094935
11,11.79104459883376,10.066985284758362,9.986169804094935
12,10.049421938454412,10.007381856494716,9.986169804094935
13,10.040397274345727,10.01009778674753,9.990168728794156
14,12.812077529431972,10.10383519679981,9.986169804094935
15,12.812077529431972,10.104682458580635,9.999975029922238
16,12.812077529431972,10.105123523469107,10.001270858848041
17,10.02643138775548,10.014532630713543,10.00348916946794
18,10.045944888990176,10.016231022966975,10.003747005814748
19,10.068270027633403,10.019565754506164,9.988197345184558
