generation,max,mean,min
0,10.0913862310051,10.013374428835295,9.989862958021275
1,10.06313074132054,10.008182766953642,9.989000738780035
2,10.052471258960255,10.010845800332273,9.99170031864057
3,10.0913862310051,10.017855630069707,9.994139957562762
4,13.267620719438392,10.255938173002473,9.994139957562762
5,10.046015709548447,10.007016085591943,9.992598855041722
6,10.043469692412074,10.005384105636043,9.998423047762012
7,10.022769476623912,10.003660275322353,9.996316022361933
8,10.066748624948563,10.007398091038969,9.996316022361933
9,10.043469692412074,10.005077608468259,9.995525641594524
10,10.022769476623912,10.002536781606906,9.991740911439507
11,10.066748624948563,10.004939425718755,9.995525641594524
12,10.017888337527731,10.003538334495083,9.998685016633647
13,10.043876862309135,10.006072167065854,9.998685016633647
14,10.043469692412074,10.004324846316669,9.997349435707811
15,10.022769476623912,10.003534891558456,9.99853981326937
16,10.066748624948563,10.006503959596317,9.997888581234161
17,10.043469692412074,10.007519875240877,9.996919646918174
18,10.043469692412074,10.008628379002921,9.997888581234161
19,10.022769476623912,10.004917527550692,9.998686303985533
